ID_Cod,Proprietario_Nome,Proprietario_DatasExtremas,Proprietario_Titulo,Proprietario_Titulo_DatasExtremas,TipoDoc,Descricao,Obra,AtribuicaoAlternatObra,Sinopse_Obra,ProbAtribObra,GenLit_Descricao,TradicaoIntelectual_Obra,AtribuicaoAlternatAutor,Nome_Autor,BioAbreviada_Autor,EstatutoAutor,NumCopias,OrigemGeografica_Autor,LocalNasc_Autor,Latitude_Autor,Longitude_Autor,LocalMorte_Autor,CatLit_Descricao,ProbAtribAutor,EpocaHistorica_Autor,DataNasc_Autor,DataMorte_Autor,Idioma,Forma,Suporte,DataProdOriginal_Obra,LugarProdOriginal_Obra,CopiasArquivisticas_Obra,EdicoesTextuais_Obra
141,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Bartolo com tavoas e coiro verde,[Comentário de] Bártolo,"(i) Comentários ao Digesto; (ii) Comentários ao Códice de Justiniano; (iii) Comentário às Instituições; (iv) Comentários ao Esforçado; (v) Consilia, Quaestiones et Tractatus; (vi) Sobre os Rios; (vii) Opera omnia; (viii) Sobre Insígnias e Armas; (ix) Sobre a Tirania; (x) Sobre Guelfos e Gibelinos; (xi) Sobre o Governo da Cidade; (xii) Sobre os Tiranos; (xiii) Sobre os Estatutos","A referência genérica ao livro – simplesmente identificado pelo nome do autor: «Bartolo» –, não permite uma identificação conclusiva acerca de qual seria, em concreto, a obra em causa, considerando os numerosos comentários deixados pelo jurisconsulto italiano ao «Corpus Iuris Civilis». Conhece-se a existência em Portugal de vários textos da sua autoria ou, pelo menos, que lhe são atribuíveis. Existiu um comentário seu na Livraria de D. João e dois na livraria de D. Duarte. possivelmente um dos quais o que pertencera ao seu pai. Num testamento de Mem Perez de Oliveira, deão da Sé de Évora, de 1407, são-lhe associados um «Tractatus de succesionibus ab intestato» e um «materium statutorum». Por sua vez, o Doutor Diogo Afonso de Mangancha, em 1447, possuía, entre outros livros, a «Segunda parte do Bartolo sobre o Esfforçado» e «os Bartolos ssobre o Digesto Novo». Já a livraria da universidade portuguesa continha, em 1513, sete volumes de «Bartolo antigo», dos quais cinco manuscritos e dois impressos, além de um seu «Comentário à segunda parte do Digesto Novo».",Indeterminada,Direito,Direito romano,Não aplicável,Bártolo de Saxoferrato,"Bartolus de Saxoferrato (Bartolo da Sassoferrato), nascido em 1313/14, em Sassoferrato, Estados Pontifícios, e falecido em 1357, em Perugia. Foi jurista e professor de direito. Estudou direito com Cino de Pistóia em Perugia e com Jaime de Belvisio, em Bolonha, onde obteve o doutoramento em direito civil em 1334. Após estudos privados adicionais, tornou-se professor de direito em Pisa em 1339 e, mais tarde, em Perugia, onde permaneceu até à sua morte, tendo ocupado aí a cátedra de direito, a partir de 1343. É conhecido por ter desenvolvido um método de aplicação do direito romano a problemas contemporâneos através do método escolástico. Em rutura com os seus predecessores - os glosadores -, que haviam trabalhado em Bolonha desde cerca de 1125, emergiu como a principal figura dos pós-glosadores, ou comentadores, um grupo de juristas do norte da Itália que, a partir de meados do século XIV, escreveram sobre o direito romano, entre os quais um grupo de juristas que seguiu o seu método e ficou conhecido como ""Bartolistas"" Ele e seus colegas utilizaram o Corpus Juris Civilis, na maioria compilado pelo imperador bizantino Justiniano I no século VI, como base para extrair amplos princípios jurídicos que pudessem ser aplicados à resolução de problemas contemporâneos na Europa do século XIV. Bártolo escreveu diversas doutrinas jurídicas de grande influência, especialmente sobre a autoridade governamental das cidades-estado e os direitos dos indivíduos e das corporações dentro delas. Esses e outros de seus princípios tornaram-se parte do direito comum na Itália e foram também reconhecidos como legislação em Espanha, Portugal e Alemanha. De resto, os comentários de Bártolo sobre o Corpus Juris Civilis foram, por vezes, considerados como uma autoridade equivalente à do próprio código. De Bártolo foi discípulo, em Perúgia, Baldo de Ubaldo (1327-1400), que viria a ser professor em Pádua, Perúgia e Pisa, e autor de vários comentários aos mais importantes textos civis e canónicos do seu tempo. A produção literária que está atribuída a Bártolo inclui «Comentários ao Digesto» (Antigo e Novo), «Comentários ao Códice de Justiniano», «Comentário às Instituições», «Comentários ao Esforçado», «Consilia, Quaestiones et Tractatus», «Sobre os Rios», «Opera omnia», «Sobre Insígnias e Armas», «Sobre a Tirania», «Sobre Guelfos e Gibelinos», «Sobre o Governo da Cidade», «Sobre os Tiranos» e «Sobre os Estatutos».",Autor,1,Península Itálica,Sassoferrato,"43° 25' 52"" N","12° 51' 24"" E",Perugia,Jurídica,Segura,Baixa Idade Média (XIV-XV),1313/14,1357,Em classificação,Manuscrito,Em classificação,séc. XIV,Península Itálica,Em classificação,Em classificação
142,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,"Marco Tullio, o qual tirou em linguagem o Infante D. Pedro",Sobre os ofícios (De Officiis),,Em classificação,Em classificação,Filosofia,Ética romana,,Marco Túlio Cícero (Marcus Tullius Cicero),Em classificação,Em classificação,1,Península Itálica,Arpino,"41° 38' 0"" N","13° 36' 0"" E",Formia,Filosofia e Artes liberais,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
143,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro da Guerra,Sobre a Guerra,,Em classificação,Em classificação,Ética cavaleiresca,Estratégia militar romana,,Vegécio (Publius Flavius Vegetius Renatus),Em classificação,Em classificação,1,Península Itálica,Roma,"41° 53' 24"" N","12° 28' 58"" E",?,Ética,Em classificação,Antiguidade Tardia (III-VIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
144,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,O Livro do Conde de Lucanor,Livro do Conde de Lucanor,,Em classificação,Em classificação,Contos morais e exemplares,Prosa moral,,Juan Manuel,Em classificação,Em classificação,1,Península Ibérica (Castela),Escalona,"40° 10' 0"" N","4° 25' 0"" W",Córdoba,Moralidades,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
145,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Julio Cesar,Júlio César (Divus Julius),,Em classificação,Em classificação,Historiografia,Historiografia romana,,Suetónio (Gaius Suetonius Tranquillus),Em classificação,Em classificação,1,Norte de África,"Hipona, i.e. Annaba","36° 54' 44"" N","7° 45' 22"" E",Roma,História,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
146,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Coronica despanha em cadernos,Historia Geral de Espanha,,Em classificação,Em classificação,Cronística,Em classificação,,Anónimo (Geral),Em classificação,Em classificação,1,?,?,Não Aplicável,Não Aplicável,?,História,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
147,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Bartolo em cadernos encadernado em purgaminho,[Comentário de] Bártolo,"(i) Comentários ao Digesto; (ii) Comentários ao Códice de Justiniano; (iii) Comentário às Instituições; (iv) Comentários ao Esforçado; (v) Consilia, Quaestiones et Tractatus; (vi) Sobre os Rios; (vii) Opera omnia; (viii) Sobre Insígnias e Armas; (ix) Sobre a Tirania; (x) Sobre Guelfos e Gibelinos; (xi) Sobre o Governo da Cidade; (xii) Sobre os Tiranos; (xiii) Sobre os Estatutos","A referência genérica ao livro – simplesmente identificado pelo nome do autor: «Bartolo» –, não permite uma identificação conclusiva acerca de qual seria, em concreto, a obra em causa, considerando os numerosos comentários deixados pelo jurisconsulto italiano ao «Corpus Iuris Civilis». Conhece-se a existência em Portugal de vários textos da sua autoria ou, pelo menos, que lhe são atribuíveis. Existiu um comentário seu na Livraria de D. João e dois na livraria de D. Duarte. possivelmente um dos quais o que pertencera ao seu pai. Num testamento de Mem Perez de Oliveira, deão da Sé de Évora, de 1407, são-lhe associados um «Tractatus de succesionibus ab intestato» e um «materium statutorum». Por sua vez, o Doutor Diogo Afonso de Mangancha, em 1447, possuía, entre outros livros, a «Segunda parte do Bartolo sobre o Esfforçado» e «os Bartolos ssobre o Digesto Novo». Já a livraria da universidade portuguesa continha, em 1513, sete volumes de «Bartolo antigo», dos quais cinco manuscritos e dois impressos, além de um seu «Comentário à segunda parte do Digesto Novo».",Indeterminada,Direito,Direito romano,Não aplicável,Bártolo de Saxoferrato,"Bartolus de Saxoferrato (Bartolo da Sassoferrato), nascido em 1313/14, em Sassoferrato, Estados Pontifícios, e falecido em 1357, em Perugia. Foi jurista e professor de direito. Estudou direito com Cino de Pistóia em Perugia e com Jaime de Belvisio, em Bolonha, onde obteve o doutoramento em direito civil em 1334. Após estudos privados adicionais, tornou-se professor de direito em Pisa em 1339 e, mais tarde, em Perugia, onde permaneceu até à sua morte, tendo ocupado aí a cátedra de direito, a partir de 1343. É conhecido por ter desenvolvido um método de aplicação do direito romano a problemas contemporâneos através do método escolástico. Em rutura com os seus predecessores - os glosadores -, que haviam trabalhado em Bolonha desde cerca de 1125, emergiu como a principal figura dos pós-glosadores, ou comentadores, um grupo de juristas do norte da Itália que, a partir de meados do século XIV, escreveram sobre o direito romano, entre os quais um grupo de juristas que seguiu o seu método e ficou conhecido como ""Bartolistas"" Ele e seus colegas utilizaram o Corpus Juris Civilis, na maioria compilado pelo imperador bizantino Justiniano I no século VI, como base para extrair amplos princípios jurídicos que pudessem ser aplicados à resolução de problemas contemporâneos na Europa do século XIV. Bártolo escreveu diversas doutrinas jurídicas de grande influência, especialmente sobre a autoridade governamental das cidades-estado e os direitos dos indivíduos e das corporações dentro delas. Esses e outros de seus princípios tornaram-se parte do direito comum na Itália e foram também reconhecidos como legislação em Espanha, Portugal e Alemanha. De resto, os comentários de Bártolo sobre o Corpus Juris Civilis foram, por vezes, considerados como uma autoridade equivalente à do próprio código. De Bártolo foi discípulo, em Perúgia, Baldo de Ubaldo (1327-1400), que viria a ser professor em Pádua, Perúgia e Pisa, e autor de vários comentários aos mais importantes textos civis e canónicos do seu tempo. A produção literária que está atribuída a Bártolo inclui «Comentários ao Digesto» (Antigo e Novo), «Comentários ao Códice de Justiniano», «Comentário às Instituições», «Comentários ao Esforçado», «Consilia, Quaestiones et Tractatus», «Sobre os Rios», «Opera omnia», «Sobre Insígnias e Armas», «Sobre a Tirania», «Sobre Guelfos e Gibelinos», «Sobre o Governo da Cidade», «Sobre os Tiranos» e «Sobre os Estatutos».",Autor,1,Península Itálica,Sassoferrato,"43° 25' 52"" N","12° 51' 24"" E",Perugia,Jurídica,Segura,Baixa Idade Média (XIV-XV),1313/14,1357,Em classificação,Manuscrito,Pergaminho,séc. XIV,Península Itálica,Em classificação,Em classificação
148,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Conquista de Ultramar,Conquista do Ultramar,,Em classificação,Em classificação,Historiografia,Matéria de Roma Antiga,,Guilherme de Tiro,Em classificação,Em classificação,1,Próximo Oriente,Jerusalém,"31° 46' 41"" N","35° 13' 25"" E",Tiro,História,Em classificação,Idade Média Central (XI-XIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
149,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,"Livro da Cetraria, que foi d'El-Rei Dom João",Livro de Cetraria,,Em classificação,Em classificação,Cinegética,Em classificação,,Anónimo (Geral),Em classificação,Em classificação,1,?,?,Não Aplicável,Não Aplicável,?,Técnica,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
150,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Orto do Sposo,Orto do Esposo,,Em classificação,Em classificação,Espiritualidade cristã,Em classificação,,Anónimo (Baixa Idade Média),Em classificação,Em classificação,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
